,文件名称,采样频率,采样点,音频时长,音频文件大小
0,F070_002.wav,16000,279664,17.479,546.21875
1,F070_007.wav,16000,138156,8.63475,269.8359375
2,F070_011.wav,16000,65795,4.1121875,128.505859375
3,F070_008.wav,16000,125552,7.847,245.21875
4,F070_001.wav,16000,356464,22.279,696.21875
5,F070_004.wav,16000,161889,10.1180625,316.189453125
6,F070_009.wav,16000,198400,12.4,387.5
7,F070_006.wav,16000,110400,6.9,215.625
8,F070_012.wav,16000,146681,9.1675625,286.486328125
9,F070_003.wav,16000,257209,16.0755625,502.361328125
10,F070_010.wav,16000,191829,11.9893125,374.666015625
11,F070_005.wav,16000,115988,7.24925,226.5390625
12,M018_025.wav,16000,173921,10.8700625,339.689453125
13,M018_024.wav,16000,312214,19.513375,609.79296875
14,M018_015.wav,16000,110854,6.928375,216.51171875
15,M018_016.wav,16000,174172,10.88575,340.1796875
16,M018_020.wav,16000,354198,22.137375,691.79296875
17,M018_027.wav,16000,154160,9.635,301.09375
18,M018_022.wav,16000,386660,24.16625,755.1953125
19,M018_012.wav,16000,305448,19.0905,596.578125
20,M018_019.wav,16000,170973,10.6858125,333.931640625
21,M018_018.wav,16000,103862,6.491375,202.85546875
22,M018_014.wav,16000,210199,13.1374375,410.544921875
23,M018_026.wav,16000,143099,8.9436875,279.490234375
24,M018_021.wav,16000,332852,20.80325,650.1015625
25,M018_023.wav,16000,284030,17.751875,554.74609375
26,M018_017.wav,16000,220368,13.773,430.40625
27,M018_013.wav,16000,266466,16.654125,520.44140625
28,M011_011.wav,16000,107337,6.7085625,209.642578125
29,M011_015.wav,16000,135150,8.446875,263.96484375
30,M011_009.wav,16000,82481,5.1550625,161.095703125
31,M011_020.wav,16000,82356,5.14725,160.8515625
32,M011_023.wav,16000,112775,7.0484375,220.263671875
33,M011_022.wav,16000,81554,5.097125,159.28515625
34,M011_014.wav,16000,110555,6.9096875,215.927734375
35,M011_008.wav,16000,82718,5.169875,161.55859375
36,M011_021.wav,16000,91200,5.7,178.125
37,M011_016.wav,16000,114674,7.167125,223.97265625
38,M011_019.wav,16000,135395,8.4621875,264.443359375
39,M011_005.wav,16000,78492,4.90575,153.3046875
40,M011_012.wav,16000,50457,3.1535625,98.548828125
41,M011_002.wav,16000,163054,10.190875,318.46484375
42,M011_018.wav,16000,60706,3.794125,118.56640625
43,M011_010.wav,16000,100145,6.2590625,195.595703125
44,M011_017.wav,16000,109263,6.8289375,213.404296875
45,M011_006.wav,16000,49408,3.088,96.5
46,M011_004.wav,16000,199601,12.4750625,389.845703125
47,M011_007.wav,16000,49859,3.1161875,97.380859375
48,M011_013.wav,16000,111168,6.948,217.125
49,M011_003.wav,16000,134860,8.42875,263.3984375
50,F002_044.wav,16000,92800,5.8,181.25
51,F002_022.wav,16000,84000,5.25,164.0625
52,F002_050.wav,16000,92291,5.7681875,180.255859375
53,F002_040.wav,16000,110400,6.9,215.625
54,F002_032.wav,16000,125600,7.85,245.3125
55,F002_035.wav,16000,67200,4.2,131.25
56,F002_016.wav,16000,105600,6.6,206.25
57,F002_030.wav,16000,76000,4.75,148.4375
58,F002_020.wav,16000,94400,5.9,184.375
59,F002_025.wav,16000,154400,9.65,301.5625
60,F002_027.wav,16000,140000,8.75,273.4375
61,F002_024.wav,16000,88000,5.5,171.875
62,F002_029.wav,16000,168000,10.5,328.125
63,F002_018.wav,16000,71200,4.45,139.0625
64,F002_037.wav,16000,106400,6.65,207.8125
65,F002_039.wav,16000,150400,9.4,293.75
66,F002_043.wav,16000,88800,5.55,173.4375
67,F002_048.wav,16000,139399,8.7124375,272.263671875
68,F002_026.wav,16000,135200,8.45,264.0625
69,F002_031.wav,16000,133600,8.35,260.9375
70,F002_038.wav,16000,136800,8.55,267.1875
71,F002_034.wav,16000,96000,6.0,187.5
72,F002_041.wav,16000,98400,6.15,192.1875
73,F002_017.wav,16000,61600,3.85,120.3125
74,F002_036.wav,16000,108800,6.8,212.5
75,F002_021.wav,16000,112800,7.05,220.3125
76,F002_019.wav,16000,48000,3.0,93.75
77,F002_047.wav,16000,76800,4.8,150.0
78,F002_028.wav,16000,126400,7.9,246.875
79,F002_042.wav,16000,84000,5.25,164.0625
80,F002_045.wav,16000,80800,5.05,157.8125
81,F002_033.wav,16000,82400,5.15,160.9375
82,F002_046.wav,16000,60800,3.8,118.75
83,F002_049.wav,16000,71527,4.4704375,139.701171875
84,F002_023.wav,16000,133600,8.35,260.9375
85,F004_033.wav,16000,72800,4.55,142.1875
86,F004_007.wav,16000,100800,6.3,196.875
87,F004_002.wav,16000,72800,4.55,142.1875
88,F004_060.wav,16000,105600,6.6,206.25
89,F004_044.wav,16000,132800,8.3,259.375
90,F004_001.wav,16000,136000,8.5,265.625
91,F004_041.wav,16000,86400,5.4,168.75
92,F004_049.wav,16000,108000,6.75,210.9375
93,F004_058.wav,16000,80800,5.05,157.8125
94,F004_045.wav,16000,124800,7.8,243.75
95,F004_011.wav,16000,93600,5.85,182.8125
96,F004_035.wav,16000,135200,8.45,264.0625
97,F004_034.wav,16000,83200,5.2,162.5
98,F004_052.wav,16000,73600,4.6,143.75
